model,resp_id,orig_idx,mean_surprisal,n_ans,gap,jsd_noctx,chunk_drops,chunk_jsds,label,doc_id,summ_model
tofueval_Qwen2.5-0.5B-Instruct,63,63,1.6946606636047363,53,1.3688265085220337,0.2587929964065552,"[0.3616431889402623, -0.07626664554502569, 0.9149731948569786, 0.023356196911234566, 0.03281308878800735]","[0.05598223988663192, 0.05842730969171168, 0.12057750191078807, 0.002413565742138648, 0.005636975397957816]",0,AlamedaCC_07202021_2021-1128,model_D
tofueval_Qwen2.5-0.5B-Instruct,64,64,1.5519870519638062,63,2.276332139968872,0.282659113407135,"[0.4750222890907603, 0.21349410243084774, -0.021466120561060037, 0.5683172578444808, -0.06271678146292707]","[0.0814110687917116, 0.05611174197506371, 0.0185418099562744, 0.058119218872210665, 0.020028532643050673]",1,AlamedaCC_07202021_2021-1128,model_E
tofueval_Qwen2.5-0.5B-Instruct,65,65,2.498706817626953,59,0.20153427124023438,0.16357167065143585,"[0.023772552252305134, -0.02714459150852004, -0.0031484894186132035, 0.2324767167348478, 0.00751823068880555]","[0.0034168191746483884, 0.0046100245521209495, 0.005361857329412719, 0.11827507923738005, 0.020901788854859923]",1,AlamedaCC_07202021_2021-1128,Model-Extra
tofueval_Qwen2.5-0.5B-Instruct,66,66,1.281291127204895,104,2.247180700302124,0.28025224804878235,"[-0.009324413209801955, 0.006185519987691525, 0.014882070348343964, 1.1440415397246397, 1.011027656200615]","[0.002702414205306634, 0.0022722237390717316, 0.003605383681930837, 0.1271229544984049, 0.14711796780437625]",0,AlamedaCC_07202021_2021-1128,model_A
tofueval_Qwen2.5-0.5B-Instruct,67,67,1.2657103538513184,52,1.141525387763977,0.21108311414718628,"[-0.005421777358815934, -0.022011738397570577, 0.01750780773055829, 1.091087336233893, -0.012767750627132885]","[0.002597045904781663, 0.005932522401451479, 0.006252523992840837, 0.18117580826947233, 0.01754163323127063]",0,AlamedaCC_07202021_2021-1128,model_B
tofueval_Qwen2.5-0.5B-Instruct,68,68,1.094516634941101,52,1.3020678758621216,0.20171135663986206,"[0.012520007636864578, 0.02763034070977273, 0.3451575971487098, 1.0866697638876548, 0.08600791874295492]","[0.0020161403217921012, 0.003415797212378143, 0.033692998085580954, 0.16150625399025278, 0.019000447437594385]",1,AlamedaCC_07202021_2021-1128,model_C
tofueval_Qwen2.5-0.5B-Instruct,69,69,1.0064692497253418,92,2.7848355770111084,0.3486974537372589,"[-0.0013608953341526617, 0.013154007259088205, 0.021238084024488395, 1.9667797942858432, 0.8442113799939525]","[0.001881134347396186, 0.001252246579880989, 0.002558056411069866, 0.2516096457557464, 0.0976061265430318]",0,AlamedaCC_07202021_2021-1128,model_D
tofueval_Qwen2.5-0.5B-Instruct,70,70,1.3895862102508545,50,0.8555996417999268,0.16492101550102234,"[-0.020515382105950265, -0.008103762730024755, 0.04745947945397347, 0.6883672680670861, 0.10268956405809149]","[0.0026016091909559693, 0.004456017201298437, 0.00417551244741162, 0.11685932341237276, 0.022383386781991702]",0,AlamedaCC_07202021_2021-1128,model_E
tofueval_Qwen2.5-0.5B-Instruct,71,71,3.9830124378204346,60,0.8812086582183838,0.1749456226825714,"[0.004800817696377635, 0.24192364173941314, -0.08270717202685773, 0.052268542861565945, 0.11215627559771141]","[0.017374868628758124, 0.05138646526853942, 0.02473873826675117, 0.011002806166955755, 0.04464343993749935]",1,AlamedaCC_09012015_2015-1940,Model-Extra
tofueval_Qwen2.5-0.5B-Instruct,72,72,1.2467330694198608,46,1.7726221084594727,0.23774296045303345,"[-0.035446254130360816, 0.014257293157618773, -0.005322395747122716, -0.01688387405911469, 1.6372792040827968]","[0.0026509572683746387, 0.001167869313897664, 0.0006352209872266426, 0.0017748834211636715, 0.23686210024955115]",0,AlamedaCC_09012015_2015-1940,model_A
