model,resp_id,orig_idx,domain,mean_surprisal,n_ans,gap,jsd_noctx,chunk_drops,chunk_jsds,label
ragbench_Qwen2.5-0.5B-Instruct,73,73,pubmedqa,0.9833736419677734,48,0.4722834825515747,0.06845483928918839,"[0.2631780911308776, 0.27344928709059485, -0.010179795218808371, 0.024345725893188803, 0.03372106817027998]","[0.047173857280654374, 0.013024286836868923, 0.006427728732335325, 0.002324060332049053, 0.003443426905821667]",1
ragbench_Qwen2.5-0.5B-Instruct,74,74,pubmedqa,1.1941736936569214,200,1.2247498035430908,0.18891386687755585,"[0.4390336533941445, 0.36474902337007736, 0.22836363848373367, 0.02716698699307017, 0.16239867781370776]","[0.05433382015467004, 0.054363621646058104, 0.031201188853672193, 0.010799973419636899, 0.023100827432584764]",1
ragbench_Qwen2.5-0.5B-Instruct,75,75,pubmedqa,0.7597419619560242,200,0.8134410381317139,0.14524517953395844,"[0.3018018754437708, 0.17008993799437747, 0.22825296579730378, -0.005728916294924034]","[0.06073535107729157, 0.0337107789972832, 0.031960720460889075, 0.005825582405243796]",1
ragbench_Qwen2.5-0.5B-Instruct,76,76,pubmedqa,0.7595275044441223,200,1.185477614402771,0.19679275155067444,"[0.9226918178952382, 0.3127074383996478, -0.0034943000075827514, -0.016089847221064702, -0.006656937056636707]","[0.14178425091222033, 0.041946744247461254, 0.0032937918242907926, 0.0034692011551207005, 0.004623803693741451]",1
ragbench_Qwen2.5-0.5B-Instruct,77,77,techqa,1.486934781074524,200,0.10543063282966614,0.027689343318343163,"[0.003567148982316439, -0.01147089928106368, 0.03749426078973102, 0.004539389357138362, -0.023646265480806505]","[0.00459425031684404, 0.0014170814676364074, 0.008685561290604937, 0.003998290283323911, 0.005576319771992786]",1
ragbench_Qwen2.5-0.5B-Instruct,78,78,finqa,0.58698970079422,142,0.14007431268692017,0.030334142968058586,"[-0.007593422064608501, 0.18075507413991737, -0.006705131971743163, -0.003250485513041933, 0.005464176100028619]","[0.0022512935244390704, 0.022018308763801335, 0.001738279651983847, 0.0012022201232440865, 0.0028564500771042006]",1
ragbench_Qwen2.5-0.5B-Instruct,79,79,pubmedqa,1.5715409517288208,113,0.19874073565006256,0.04074309393763542,"[0.08702277745147206, 0.008924276547093267, 0.02006721354623591, -0.0007301698367448011, 0.08217156097270267]","[0.012093682696163583, 0.002458214679920156, 0.0037122620707876184, 0.0018466336012989105, 0.014835200027159288]",1
ragbench_Qwen2.5-0.5B-Instruct,80,80,pubmedqa,0.7773094773292542,200,1.0881168842315674,0.22317449748516083,"[0.36266108449748574, 0.1656812761448691, 0.5909580535275267, 0.0017643776668592182, -0.008830945074309966]","[0.07683131382368316, 0.03812013225523429, 0.1196786572824118, 0.004193640221256736, 0.004636100076490877]",1
ragbench_Qwen2.5-0.5B-Instruct,81,81,pubmedqa,1.222702980041504,200,1.0077840089797974,0.16069069504737854,"[0.803305922865984, -0.009969593557980262, -0.005280217053450542, -0.03672520246887416, 0.2271053321071804]","[0.11323550103077537, 0.0031405235709254953, 0.003191607770839937, 0.004285367010741368, 0.03266754833023583]",1
ragbench_Qwen2.5-0.5B-Instruct,82,82,techqa,1.7255215644836426,200,0.6320441961288452,0.099012091755867,"[0.43488492310108995, 0.032909008568121866, 0.015382590240196805, 0.020607039070100655, -0.008569598672229404]","[0.06815370481986975, 0.022385022761214374, 0.01175749242604411, 0.006174552297060245, 0.007217798595038402]",1
ragbench_Qwen2.5-0.5B-Instruct,83,83,pubmedqa,0.6739639043807983,200,1.3622585535049438,0.18932369351387024,"[0.6639634005022345, 0.4665100217078043, 0.006164947758838935, 0.011752794673602693]","[0.09543371191321057, 0.08129219393629888, 0.004564686607928437, 0.004223306844046704]",1
ragbench_Qwen2.5-0.5B-Instruct,84,84,pubmedqa,0.8728700280189514,200,0.8351844549179077,0.15096141397953033,"[0.43424050771060135, -0.022717503936564753, 0.22882386560671875, 0.14415587089940346, -0.0009509530272134725]","[0.0821568508448793, 0.013290720613594119, 0.028499684284393822, 0.02382099464654587, 0.003256322471527824]",1
